Country,Positive,Negative,Neutral,Total
United States,1634,532,416,2582
Egypt,1140,466,221,1827
United Kingdom,473,139,105,717
Canada,187,74,53,314
Philippines,116,37,55,208
Australia,89,24,22,135
Mexico,84,12,14,110
India,51,11,14,76
United Arab Emirates,40,13,14,67
Malaysia,26,11,13,50
Germany,26,16,7,49
Netherlands,33,8,7,48
Spain,25,13,7,45
Indonesia,24,7,8,39
South Africa,28,6,4,38
Ireland,27,6,5,38
Singapore,18,6,3,27
Italy,17,6,2,25
Pakistan,13,4,5,22
Saudi Arabia,10,4,5,19
Austria,13,3,3,19
France,10,5,2,17
Ukraine,9,5,3,17
Sweden,7,5,5,17
Lebanon,11,4,2,17
Kuwait,5,4,6,15
New Zealand,7,5,2,14
Turkey,5,5,4,14
Armenia,7,3,2,12
"Venezuela, Bolivarian Republic of",5,2,5,12
Jordan,6,2,3,11
Belgium,5,3,2,10
Japan,4,4,2,10
Argentina,4,3,2,9
Thailand,6,3,0,9
Belarus,5,2,1,8
Panama,6,1,1,8
Nigeria,8,0,0,8
Israel,3,4,0,7
Russian Federation,4,1,1,6
Kenya,0,3,3,6
Dominican Republic,6,0,0,6
Portugal,3,2,1,6
Costa Rica,3,2,1,6
Denmark,2,3,1,6
Qatar,4,1,1,6
Viet Nam,1,4,0,5
China,3,2,0,5
Bahrain,5,0,0,5
Hungary,4,1,0,5
Brazil,3,0,2,5
Chile,3,1,1,5
Georgia,5,0,0,5
Colombia,1,1,3,5
Cyprus,0,3,2,5
Oman,3,0,1,4
Peru,2,1,1,4
Greece,3,0,1,4
Slovenia,2,1,0,3
Romania,2,1,0,3
"Korea, Republic of",3,0,0,3
Croatia,3,0,0,3
Switzerland,2,1,0,3
Tunisia,2,1,0,3
Guam,1,0,1,2
Azerbaijan,1,0,1,2
Czech Republic,2,0,0,2
Norway,2,0,0,2
Finland,1,0,1,2
Ecuador,0,1,1,2
Bangladesh,0,2,0,2
Morocco,0,1,1,2
Nepal,1,0,1,2
Bermuda,0,2,0,2
Poland,1,0,1,2
Trinidad and Tobago,2,0,0,2
Turkmenistan,1,0,0,1
Cameroon,1,0,0,1
Ghana,0,0,1,1
Guatemala,0,0,1,1
Liberia,0,1,0,1
Jamaica,1,0,0,1
Syrian Arab Republic,1,0,0,1
Rwanda,1,0,0,1
Slovakia,1,0,0,1
Malawi,0,0,1,1
"Iran, Islamic Republic of",0,0,1,1
Tonga,1,0,0,1
Guyana,0,1,0,1
"Palestine, State of",0,0,1,1
Brunei Darussalam,1,0,0,1
Luxembourg,1,0,0,1
Bahamas,1,0,0,1
Palau,0,0,1,1
Algeria,1,0,0,1
El Salvador,1,0,0,1
Iraq,1,0,0,1
"Taiwan, Province of China",0,1,0,1
Belize,0,1,0,1
"Tanzania, United Republic of",0,1,0,1
Estonia,1,0,0,1
Uruguay,1,0,0,1
Holy See (Vatican City State),1,0,0,1
Barbados,1,0,0,1
Senegal,1,0,0,1
Zimbabwe,1,0,0,1
Kyrgyzstan,0,1,0,1
Country,0,0,0,1
Serbia,1,0,0,1
Paraguay,0,1,0,1
Namibia,1,0,0,1
